City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
89,Mombetsu,JP,2021-06-04 00:55:00,44.3525,143.3525,66.22,59,75,26.46
90,Ust-Kalmanka,RU,2021-06-04 00:55:00,52.1207,83.305,64.94,89,100,1.32
91,Fuyu,CN,2021-06-04 00:55:00,45.1833,124.8167,53.62,80,100,10.56
92,Denpasar,ID,2021-06-04 00:53:55,-8.65,115.2167,80.26,94,40,7.05
93,Longyearbyen,SJ,2021-06-04 00:55:01,78.2186,15.6401,35.44,80,75,12.66
94,Chokurdakh,RU,2021-06-04 00:55:01,70.6333,147.9167,55.08,65,100,1.32
95,Lar,IN,2021-06-04 00:55:01,26.2039,83.9717,90.64,43,61,5.26
96,Santa Vitoria,BR,2021-06-04 00:52:14,-18.8386,-50.1214,76.71,40,80,6.13
97,Taganak,PH,2021-06-04 00:55:02,6.0833,118.3,84.34,83,100,10.87
98,San Andres,CO,2021-06-04 00:50:07,12.5847,-81.7006,84.22,70,75,11.5
99,Takoradi,GH,2021-06-04 00:55:03,4.8845,-1.7554,79.39,88,86,8.19
100,Bredasdorp,ZA,2021-06-04 00:50:53,-34.5322,20.0403,52.29,93,100,1.45
101,Guanica,PR,2021-06-04 00:55:03,17.9716,-66.908,81.99,73,100,12.44
102,Igarapava,BR,2021-06-04 00:55:04,-20.0383,-47.7469,76.12,53,23,3.71
103,Fortuna,US,2021-06-04 00:55:04,40.5982,-124.1573,84.18,69,90,1.99
104,Tura,IN,2021-06-04 00:55:04,25.5198,90.2201,79.0,88,4,4.72
105,Port Macquarie,AU,2021-06-04 00:54:00,-31.4333,152.9167,69.89,48,0,13.44
106,Albany,US,2021-06-04 00:53:31,42.6001,-73.9662,69.1,87,100,5.06
107,Springfield,US,2021-06-04 00:55:05,37.2153,-93.2982,75.22,68,4,0.74
108,Hithadhoo,MV,2021-06-04 00:55:05,-0.6,73.0833,83.84,71,100,18.97
109,Fairbanks,US,2021-06-04 00:52:42,64.8378,-147.7164,71.56,30,75,11.5
110,Puerto Ayora,EC,2021-06-04 00:55:06,-0.7393,-90.3518,73.54,88,50,8.01
111,Luderitz,NA,2021-06-04 00:51:38,-26.6481,15.1594,67.78,36,0,21.09
112,Jibuti,DJ,2021-06-04 00:55:06,11.5,42.5,80.02,70,25,9.06
113,Busselton,AU,2021-06-04 00:55:06,-33.65,115.3333,61.72,77,68,9.35
114,Saskylakh,RU,2021-06-04 00:55:07,71.9167,114.0833,34.3,97,100,8.72
115,Scottsbluff,US,2021-06-04 00:55:08,41.8666,-103.6672,87.78,29,11,1.01
116,Dunedin,NZ,2021-06-04 00:51:04,-45.8742,170.5036,56.8,56,77,10.0
117,Kudahuvadhoo,MV,2021-06-04 00:55:08,2.6708,72.8944,83.46,68,99,17.47
118,Kavieng,PG,2021-06-04 00:55:08,-2.5744,150.7967,84.2,70,99,4.97
119,Mehamn,NO,2021-06-04 00:55:09,71.0357,27.8492,50.0,76,25,15.95
120,Lebu,CL,2021-06-04 00:55:09,-37.6167,-73.65,56.1,97,100,3.22
121,Makakilo City,US,2021-06-04 00:55:09,21.3469,-158.0858,85.6,54,90,14.05
122,Luanda,AO,2021-06-04 00:55:09,-8.8368,13.2343,77.0,88,75,5.75
123,Krasnoselkup,RU,2021-06-04 00:55:10,65.7,82.4667,39.25,61,62,11.3
124,Venustiano Carranza,MX,2021-06-04 00:55:10,19.43,-99.0992,61.3,82,90,15.01
125,Hargeysa,SO,2021-06-04 00:55:10,9.56,44.065,70.14,59,100,20.6
126,Arraial Do Cabo,BR,2021-06-04 00:55:10,-22.9661,-42.0278,73.87,84,0,2.55
127,Narsaq,GL,2021-06-04 00:55:11,60.9167,-46.05,38.77,76,88,1.72
128,Kenora,CA,2021-06-04 00:55:11,49.8167,-94.4337,83.37,32,75,5.75
129,Sola,VU,2021-06-04 00:55:11,-13.8833,167.55,84.87,74,40,6.91
130,Nuuk,GL,2021-06-04 00:52:09,64.1835,-51.7216,36.88,71,26,4.0
131,Awassa,ET,2021-06-04 00:55:11,7.05,38.4667,58.06,92,39,4.12
132,Itoman,JP,2021-06-04 00:55:12,26.1247,127.6694,86.4,87,75,13.8
133,San Quintin,MX,2021-06-04 00:55:12,30.4833,-115.95,66.69,70,1,8.3
134,Corner Brook,CA,2021-06-04 00:52:08,48.9667,-57.9484,62.76,70,100,4.68
135,Sabang,ID,2021-06-04 00:55:12,5.8933,95.3214,82.9,77,97,14.72
136,Kamen-Rybolov,RU,2021-06-04 00:55:13,44.7481,132.0403,60.15,56,0,6.78
137,Douglas,US,2021-06-04 00:55:13,41.3,-96.167,85.3,25,1,9.48
138,Petropavlovsk-Kamchatskiy,RU,2021-06-04 00:55:13,53.0452,158.6483,68.59,32,29,8.84
139,Constitucion,CL,2021-06-04 00:55:14,-35.3333,-72.4167,56.93,91,100,7.49
140,Badulla,LK,2021-06-04 00:55:14,6.9895,81.0557,72.19,85,100,2.93
141,Kenai,US,2021-06-04 00:55:14,60.5544,-151.2583,55.49,54,75,7.09
142,Mae Hong Son,TH,2021-06-04 00:55:04,19.3003,97.9685,82.54,78,20,0.0
143,Clyde River,CA,2021-06-04 00:55:15,70.4692,-68.5914,28.63,93,90,14.97
144,Caravelas,BR,2021-06-04 00:55:15,-17.7125,-39.2481,72.72,88,100,4.83
145,Medea,DZ,2021-06-04 00:54:23,36.2642,2.7539,57.65,65,73,6.58
146,Englewood,US,2021-06-04 00:52:50,39.6478,-104.9878,81.86,30,20,1.01
147,Clarence Town,AU,2021-06-04 00:51:07,-32.5833,151.7833,68.34,60,0,12.84
148,Cape Town,ZA,2021-06-04 00:53:02,-33.9258,18.4232,53.11,100,0,3.15
149,Guerrero Negro,MX,2021-06-04 00:55:16,27.9769,-114.0611,67.93,66,0,14.36
150,Husavik,IS,2021-06-04 00:50:17,66.0449,-17.3389,46.31,61,80,5.3
151,Marapanim,BR,2021-06-04 00:55:16,-0.7175,-47.6997,74.26,96,100,3.98
152,Yeppoon,AU,2021-06-04 00:54:46,-23.1333,150.7333,67.78,57,100,9.78
153,Cidreira,BR,2021-06-04 00:55:16,-30.1811,-50.2056,60.96,87,2,12.5
154,Cockburn Town,TC,2021-06-04 00:55:17,21.4612,-71.1419,79.86,81,17,19.39
155,Gao,ML,2021-06-04 00:55:17,16.6362,1.637,91.15,12,0,6.11
156,Saint-Gaudens,FR,2021-06-04 00:55:17,43.0833,0.6667,63.52,99,100,1.99
157,Batemans Bay,AU,2021-06-04 00:55:17,-35.7167,150.1833,62.2,57,5,3.33
158,Trairi,BR,2021-06-04 00:50:32,-3.2778,-39.2689,77.67,75,5,9.75
159,Shillong,IN,2021-06-04 00:55:19,25.5689,91.8831,60.03,84,84,4.18
160,Shambu,ET,2021-06-04 00:55:19,9.5667,37.1,50.05,90,19,0.87
161,Ranong,TH,2021-06-04 00:55:19,9.9658,98.6348,80.53,81,43,3.09
162,Bambanglipuro,ID,2021-06-04 00:55:20,-7.95,110.2833,64.6,75,18,2.06
163,Mahebourg,MU,2021-06-04 00:55:20,-20.4081,57.7,73.69,78,75,11.5
164,Bac Lieu,VN,2021-06-04 00:55:21,9.285,105.7244,85.91,71,14,7.78
165,East London,ZA,2021-06-04 00:55:21,-33.0153,27.9116,55.78,76,67,6.82
166,Lerici,IT,2021-06-04 00:55:21,44.0759,9.9112,66.76,70,60,3.56
167,Upernavik,GL,2021-06-04 00:55:21,72.7868,-56.1549,32.36,76,10,2.62
168,Karratha,AU,2021-06-04 00:50:53,-20.7377,116.8463,68.36,47,100,17.9
169,Salinopolis,BR,2021-06-04 00:55:22,-0.6136,-47.3561,79.11,86,100,11.54
170,Yar-Sale,RU,2021-06-04 00:55:22,66.8333,70.8333,37.87,60,76,15.32
171,Inirida,CO,2021-06-04 00:55:23,3.8653,-67.9239,75.02,96,77,2.24
172,Solnechnyy,RU,2021-06-04 00:55:23,50.7214,136.6319,52.27,98,100,6.2
173,Gat,IL,2021-06-04 00:53:34,31.61,34.7642,66.88,74,33,1.12
174,Goderich,CA,2021-06-04 00:52:22,43.7501,-81.7165,70.12,56,1,6.91
175,Mahibadhoo,MV,2021-06-04 00:55:23,3.7833,72.9667,82.99,69,100,17.29
176,Tuatapere,NZ,2021-06-04 00:55:24,-46.1333,167.6833,49.82,73,61,8.46
177,Salamanca,ES,2021-06-04 00:53:13,40.8333,-6.0,53.38,66,3,2.98
178,Isangel,VU,2021-06-04 00:55:24,-19.55,169.2667,78.91,73,40,12.95
179,Vanderhoof,CA,2021-06-04 00:55:24,54.0166,-124.0198,70.56,28,93,9.98
180,Alindao,CF,2021-06-04 00:55:25,5.0267,21.2088,70.75,97,100,4.47
181,Nome,US,2021-06-04 00:52:08,64.5011,-165.4064,38.16,65,40,19.57
182,Aasiaat,GL,2021-06-04 00:51:02,68.7098,-52.8699,33.31,94,100,8.1
183,Katobu,ID,2021-06-04 00:55:25,-4.9408,122.5276,79.99,84,100,6.78
184,Prince Rupert,CA,2021-06-04 00:55:25,54.3161,-130.3201,51.89,82,90,9.22
185,Rancho Palos Verdes,US,2021-06-04 00:55:25,33.7445,-118.387,87.53,83,38,4.0
186,Codrington,AU,2021-06-04 00:55:26,-38.2667,141.9667,54.3,51,23,15.43
187,Champerico,GT,2021-06-04 00:52:00,14.3,-91.9167,86.54,69,8,1.63
188,Hilo,US,2021-06-04 00:55:26,19.7297,-155.09,81.25,81,68,5.01
189,Eden,US,2021-06-04 00:50:44,36.4885,-79.7667,74.1,100,75,0.0
190,Namibe,AO,2021-06-04 00:51:26,-15.1961,12.1522,70.74,75,0,6.06
191,Saint-Joseph,RE,2021-06-04 00:55:27,-21.3667,55.6167,70.16,73,20,11.45
192,Iringa,TZ,2021-06-04 00:55:27,-7.7667,35.7,54.55,94,100,5.23
193,Nouakchott,MR,2021-06-04 00:55:27,18.0858,-15.9785,80.53,59,9,20.07
194,Nalut,LY,2021-06-04 00:55:27,30.3333,10.85,80.49,38,100,17.27
195,General Roca,AR,2021-06-04 00:55:28,-39.0333,-67.5833,64.8,53,27,19.06
196,Roblin,CA,2021-06-04 00:55:28,51.23,-101.3565,82.2,50,14,0.6
197,Chumikan,RU,2021-06-04 00:55:28,54.7183,135.315,36.01,97,100,8.1
198,Hualmay,PE,2021-06-04 00:52:02,-11.0964,-77.6139,63.95,84,48,7.78
199,Presidencia Roque Saenz Pena,AR,2021-06-04 00:54:09,-26.7852,-60.4388,72.09,79,69,5.3
200,Marienburg,PL,2021-06-04 00:55:29,54.0359,19.0266,61.88,76,100,3.98
201,Nishihara,JP,2021-06-04 00:51:13,26.1842,127.7558,85.68,86,75,14.38
202,Lyubinskiy,RU,2021-06-04 00:55:29,55.1542,72.6925,51.48,89,100,19.57
203,Kavaratti,IN,2021-06-04 00:55:29,10.5669,72.642,84.11,76,100,17.02
204,Grindavik,IS,2021-06-04 00:55:29,63.8424,-22.4338,50.56,81,90,23.98
205,Zyryanka,RU,2021-06-04 00:55:30,65.75,150.85,68.74,27,45,12.53
206,Ulkan,RU,2021-06-04 00:55:30,57.243,107.3223,78.15,30,7,5.7
207,Klaksvik,FO,2021-06-04 00:50:59,62.2266,-6.589,49.12,95,16,17.78
208,Stupino,RU,2021-06-04 00:52:40,54.9008,38.0708,51.55,89,3,8.14
209,Ardakan,IR,2021-06-04 00:55:30,32.31,54.0175,88.18,10,4,6.2
210,Katsuura,JP,2021-06-04 00:55:31,35.1333,140.3,71.62,91,100,27.92
211,Nikolskoye,RU,2021-06-04 00:55:31,59.7035,30.7861,53.49,81,22,4.41
212,Puerto Palomas,MX,2021-06-04 00:55:31,31.7667,-107.6167,76.39,35,96,15.84
213,Eureka,US,2021-06-04 00:55:32,40.8021,-124.1637,72.91,81,74,3.0
214,Kabanjahe,ID,2021-06-04 00:55:32,3.1001,98.4908,65.16,94,100,3.0
215,Dunbar,US,2021-06-04 00:55:32,38.3606,-81.7374,71.51,96,76,1.01
216,Harper,LR,2021-06-04 00:55:32,4.375,-7.7169,79.59,87,100,7.31
217,Preston,GB,2021-06-04 00:55:33,53.7667,-2.7167,55.98,91,90,1.74
218,Udachnyy,RU,2021-06-04 00:55:33,66.4167,112.4,58.73,47,100,8.32
219,Birnin Kebbi,NG,2021-06-04 00:55:33,12.4539,4.1975,91.67,37,2,8.61
220,Victoria,HK,2021-06-04 00:55:33,22.2855,114.1577,87.96,85,100,4.0
221,Aykhal,RU,2021-06-04 00:55:34,66.0,111.5,56.08,42,100,13.09
222,Jalu,LY,2021-06-04 00:55:34,29.0331,21.5482,81.36,27,17,7.47
223,Kaoma,ZM,2021-06-04 00:55:34,-14.7833,24.8,50.31,45,6,5.61
224,Cherskiy,RU,2021-06-04 00:55:35,68.75,161.3,68.49,25,97,6.26
225,Egvekinot,RU,2021-06-04 00:55:35,66.3167,-179.1667,32.58,61,44,4.74
226,Provideniya,RU,2021-06-04 00:55:35,64.3833,-173.3,39.31,70,90,8.95
