City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
197,Pizhanka,RU,57.4604,48.542,56.08,80,5,3.13,clear sky
198,Maarianhamina,AX,60.0973,19.9348,55.26,71,0,1.14,clear sky
199,Pangnirtung,CA,66.1451,-65.7125,34.27,90,21,3.49,few clouds
200,Kupang,ID,-10.1667,123.5833,75.78,83,20,8.05,few clouds
201,Saskylakh,RU,71.9167,114.0833,38.26,60,72,4.29,broken clouds
202,Huarmey,PE,-10.0681,-78.1522,68.49,75,95,8.88,overcast clouds
203,Darhan,MN,49.4867,105.9228,43.65,92,100,9.75,overcast clouds
204,Rokytne,UA,51.2796,27.214,55.98,90,43,6.44,scattered clouds
205,Grand Gaube,MU,-20.0064,57.6608,75.6,84,13,3.0,few clouds
206,Longyearbyen,SJ,78.2186,15.6401,39.04,70,0,13.8,clear sky
207,Akureyri,IS,65.6835,-18.0878,53.53,54,75,13.8,broken clouds
208,San Fernando,PH,15.0286,120.6898,83.14,83,99,1.32,overcast clouds
209,Esperance,AU,-33.8667,121.9,53.44,60,100,29.04,overcast clouds
210,Vangaindrano,MG,-23.35,47.6,65.8,79,98,11.21,overcast clouds
211,Kaitangata,NZ,-46.2817,169.8464,47.44,79,89,3.62,overcast clouds
212,Souillac,MU,-20.5167,57.5167,75.58,83,75,11.56,light rain
213,Arlit,NE,18.7369,7.3853,94.51,12,43,11.45,scattered clouds
214,Palmer,US,42.1584,-72.3287,92.64,40,75,1.01,broken clouds
215,Nokaneng,BW,-19.6667,22.2667,50.04,58,0,6.58,clear sky
216,Bilma,NE,18.6853,12.9164,91.89,16,100,5.7,overcast clouds
217,Ilulissat,GL,69.2167,-51.1,39.22,81,83,5.75,broken clouds
218,College,US,64.8569,-147.8028,72.59,37,75,3.44,broken clouds
219,Kumluca,TR,36.3703,30.2869,71.94,50,1,3.62,clear sky
220,Severo-Kurilsk,RU,50.6789,156.125,42.64,94,100,10.29,overcast clouds
221,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,5.7,overcast clouds
222,Caravelas,BR,-17.7125,-39.2481,72.84,85,6,4.81,clear sky
223,Boyolangu,ID,-8.1181,111.8935,74.64,93,48,1.79,scattered clouds
224,Airai,TL,-8.9266,125.4092,55.11,78,54,2.71,broken clouds
225,Constitucion,CL,-35.3333,-72.4167,52.45,71,100,8.79,overcast clouds
226,Darnah,LY,32.767,22.6367,70.3,71,1,11.45,clear sky
227,La Rioja,ES,42.25,-2.5,55.04,85,8,5.01,clear sky
228,Murray Bridge,AU,-35.1167,139.2667,58.86,55,99,17.9,overcast clouds
229,Pinawa,CA,50.1489,-95.8811,71.15,54,61,12.37,broken clouds
230,Port Lincoln,AU,-34.7333,135.8667,60.46,49,99,24.23,overcast clouds
231,Sitka,US,57.0531,-135.33,53.49,71,90,5.75,light rain
232,Lauro Muller,BR,-28.3928,-49.3967,60.13,99,100,1.5,moderate rain
233,Taksimo,RU,56.3444,114.8794,50.56,74,100,4.12,overcast clouds
234,Mayo,US,38.8876,-76.5119,94.95,56,27,1.01,scattered clouds
235,Lumphat,KH,13.4878,106.9816,73.0,99,100,0.51,overcast clouds
236,Benicarlo,ES,40.4165,0.4271,69.91,69,0,9.48,clear sky
237,Monticello,US,45.3055,-93.7941,93.72,33,1,17.07,clear sky
238,Shimoda,JP,34.6667,138.95,71.17,85,93,7.25,overcast clouds
239,Mount Isa,AU,-20.7333,139.5,51.57,50,0,4.61,clear sky
240,Bourail,NC,-21.5667,165.4833,70.12,59,100,7.36,overcast clouds
241,Codrington,AU,-38.2667,141.9667,56.16,63,100,21.32,overcast clouds
242,Sal Rei,CV,16.1833,-22.9167,72.16,90,27,19.13,scattered clouds
243,Bahraich,IN,27.5833,81.6,89.78,32,4,4.61,clear sky
244,Mega,ET,4.05,38.3,62.22,61,34,8.81,scattered clouds
245,Kismayo,SO,-0.3582,42.5454,76.84,84,60,14.79,light rain
246,Saint Anthony,US,45.0205,-93.218,93.34,36,1,5.01,clear sky
247,San Andres,CO,12.5847,-81.7006,86.02,74,40,18.41,scattered clouds
248,Olafsvik,IS,64.8945,-23.7142,47.32,87,100,4.38,overcast clouds
249,Shieli,KZ,44.1667,66.75,75.79,44,0,5.14,clear sky
250,Balugaon,IN,20.1667,85.1,83.95,71,69,3.11,broken clouds
251,Linxia,CN,35.6003,103.2064,54.12,73,100,3.56,overcast clouds
252,Diffa,NE,13.3154,12.6113,89.92,30,10,7.36,clear sky
253,Marfino,RU,55.7028,37.3822,62.1,80,0,3.83,clear sky
254,Ustka,PL,54.5805,16.8619,55.81,76,4,2.08,clear sky
255,Anamur,TR,36.0751,32.8369,66.22,52,0,8.05,clear sky
256,Lompoc,US,34.6391,-120.4579,75.34,76,90,5.99,overcast clouds
257,Oranjemund,NA,-28.55,16.4333,66.83,33,0,7.92,clear sky
258,Tuy Hoa,VN,13.0833,109.3,80.24,78,100,9.04,overcast clouds
259,Pisco,PE,-13.7,-76.2167,66.25,77,20,8.05,few clouds
260,Iwanai,JP,42.9744,140.5089,60.6,76,100,4.12,overcast clouds
261,Kharp,RU,66.8014,65.8081,32.58,80,6,6.06,clear sky
262,Westport,US,41.1415,-73.3579,94.28,52,1,1.01,clear sky
263,Asau,RO,46.4333,26.4,54.95,84,4,4.63,clear sky
264,Karpathos,GR,35.507,27.2132,68.56,69,1,10.76,clear sky
265,Meulaboh,ID,4.1363,96.1285,74.44,88,100,4.9,overcast clouds
266,Kenmare,IE,51.8833,-9.5833,48.96,82,100,3.62,overcast clouds
267,Narsaq,GL,60.9167,-46.05,57.42,64,100,1.34,overcast clouds
268,Kamen-Rybolov,RU,44.7481,132.0403,58.19,83,1,1.97,clear sky
269,Bang Len,TH,14.0219,100.1718,84.97,74,100,6.8,overcast clouds
270,Cayenne,GF,4.9333,-52.3333,80.64,86,90,1.01,overcast clouds
271,Sur,OM,22.5667,59.5289,83.89,78,0,13.09,clear sky
272,Lanigan,CA,51.8501,-105.0344,59.29,46,81,18.88,broken clouds
273,Mayumba,GA,-3.432,10.6554,75.52,93,98,5.48,overcast clouds
274,Batagay,RU,67.6333,134.6333,52.16,43,81,6.8,broken clouds
275,Margate,GB,51.3813,1.3862,63.03,86,57,1.99,broken clouds
276,Bengkulu,ID,-3.8004,102.2655,73.62,89,29,3.78,scattered clouds
277,Toamasina,MG,-18.1667,49.3833,68.0,94,75,8.05,light rain
278,Netanya,IL,32.3329,34.8599,71.62,69,0,2.93,clear sky
279,Alor Setar,MY,6.121,100.3601,76.98,100,20,0.0,few clouds
280,Carauari,BR,-4.8828,-66.8958,76.86,93,87,1.54,overcast clouds
281,Sabla,NG,12.7525,4.7077,81.43,62,100,1.07,overcast clouds
282,Klaksvik,FO,62.2266,-6.589,50.92,98,100,15.05,overcast clouds
283,Este,IT,45.2229,11.6587,68.13,76,100,3.09,overcast clouds
284,Egvekinot,RU,66.3167,-179.1667,37.18,63,8,1.5,clear sky
285,Katobu,ID,-4.9408,122.5276,74.3,88,58,3.62,broken clouds
286,Mitu,CO,1.1983,-70.1733,76.93,97,98,2.62,overcast clouds
287,Souris,CA,49.6172,-100.2612,77.74,29,4,21.18,clear sky
288,Tiarei,PF,-17.5333,-149.3333,86.02,75,79,11.27,broken clouds
289,Ketchikan,US,55.3422,-131.6461,53.58,87,90,12.66,light rain
290,Noyabrsk,RU,63.1994,75.4507,36.16,66,8,6.71,clear sky
291,Santa Maria,BR,-29.6842,-53.8069,56.5,100,90,10.92,light intensity drizzle
292,Cabo San Lucas,MX,22.8909,-109.9124,100.81,52,6,9.6,clear sky
293,Raudeberg,NO,61.9875,5.1352,54.27,93,9,5.97,clear sky
294,Guasdualito,VE,7.2424,-70.7324,74.43,91,100,5.1,overcast clouds
