City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
403,Maumere,ID,77.54,broken clouds,-8.6199,122.2111,Sylvia Hotel
406,Grand-Lahou,CI,79.57,broken clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
411,Manta,EC,78.58,broken clouds,-0.95,-80.7333,Balandra Hotel
416,Caruray,PH,78.91,light rain,10.3094,119.0128, 
418,Salalah,OM,82.11,broken clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
422,Awbari,LY,84.99,overcast clouds,26.5921,12.7805,فندق أوباري
426,Sinfra,CI,78.17,few clouds,6.6167,-5.9167,Hote Ivoire Sinfra
427,Bitung,ID,76.05,light rain,1.4451,125.1824,K2 Lembeh
431,Half Moon Bay,US,84.81,haze,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
436,Calabozo,VE,81.75,overcast clouds,8.9242,-67.4293,Hotel Giardini
437,Jalingo,NG,79.23,light rain,8.8833,11.3667,Debright Motel
439,Sao Miguel Do Araguaia,BR,77.72,overcast clouds,-13.275,-50.1628,Hotel Executivo Palace
441,Obidos,BR,82.35,overcast clouds,-1.9175,-55.5181,Hotel Amazônia Center
444,Puerto Narino,CO,87.75,overcast clouds,-3.7703,-70.3831,Eware Refugio Amazonico
445,Am Timan,TD,79.97,light rain,11.0297,20.2827,Palais du chef Canton Salamt
448,Waddan,LY,81.37,clear sky,29.1614,16.139,محل الشريف محمد العايب
449,Bartica,GY,84.52,broken clouds,6.4,-58.6167,Relax Inn Hotel
453,Hambantota,LK,77.34,clear sky,6.1241,81.1185,Bungalow 63
455,Sabang,ID,82.9,overcast clouds,5.8933,95.3214,Hotel Citra
456,Mingaora,PK,75.06,clear sky,34.7758,72.3625,Burj Al Swat
457,Cap Malheureux,MU,75.69,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
461,Puerto Escondido,MX,85.62,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
465,Tucurui,BR,80.98,broken clouds,-3.7661,-49.6725,BBB Rooms Centro Tucurui PA
469,Dera Bugti,PK,88.79,clear sky,29.0307,69.15100000000001,Nawab Bugti House
470,Jiazi,CN,75.87,scattered clouds,22.8779,116.06700000000001,Hotel Jin Hao
477,Vilhena,BR,84.42,light rain,-12.7406,-60.1458,Hotel Mirage
478,Bonthe,SL,80.08,light rain,7.5264,-12.505,Bonthe Holiday Village
479,Samana,DO,86.22,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
480,Kutum,SD,79.7,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
483,Wilmington,US,82.31,clear sky,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
485,Boca Do Acre,BR,75.25,overcast clouds,-8.7522,-67.3978,Hotel Sao Pedro
486,Ciudad Dario,NI,81.21,broken clouds,12.7314,-86.124,"Barrio Edén, Ciudad Darío"
489,Sao Joao Da Barra,BR,78.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
490,Ishigaki,JP,78.93,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
493,Matara,LK,78.39,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
495,Kanth,IN,87.28,clear sky,29.0667,78.6333,Sagar Hotel
498,Shenzhen,CN,82.35,broken clouds,22.5455,114.0683,Shenzhen Shanghai Hotel
503,Alenquer,BR,86.34,overcast clouds,-1.9417,-54.7383,Josilene Castro
507,Amahai,ID,77.18,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
508,Monterey,US,75.76,clear sky,36.2505,-121.2516, 
516,Pierre,US,88.72,clear sky,44.3683,-100.351,Ramkota Hotel
517,Lexington,US,83.52,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
522,Tagusao,PH,80.38,overcast clouds,9.1924,117.8141,Toledo
527,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
535,Bombay,IN,84.18,haze,19.0144,72.8479,Hotel Avon Ruby-Dadar
536,Santa Cruz,BO,75.25,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
543,Vasai,IN,84.29,few clouds,19.47,72.8,Go Firne
544,Karachi,PK,85.82,scattered clouds,24.9056,67.0822,Sadaat
